topico,fecha,diario,seccion,freq
copitos,2022-09-01,casarosada,alberto,0
discurso-de-odio,2022-09-01,casarosada,alberto,0
copitos,2022-09-01,perfil,deportes,0
discurso-de-odio,2022-09-01,perfil,deportes,0
copitos,2022-09-01,perfil,ciencia,0
discurso-de-odio,2022-09-01,perfil,ciencia,0
copitos,2022-09-01,perfil,economia,0
discurso-de-odio,2022-09-01,perfil,economia,0
copitos,2022-09-01,perfil,salud,0
discurso-de-odio,2022-09-01,perfil,salud,0
copitos,2022-09-01,perfil,internacional,0
discurso-de-odio,2022-09-01,perfil,internacional,0
copitos,2022-09-01,perfil,politica,0
discurso-de-odio,2022-09-01,perfil,politica,0
copitos,2022-09-01,perfil,sociedad,0
discurso-de-odio,2022-09-01,perfil,sociedad,0
copitos,2022-09-01,perfil,espectaculos,0
discurso-de-odio,2022-09-01,perfil,espectaculos,0
copitos,2022-09-01,lanacion,deportes,0
discurso-de-odio,2022-09-01,lanacion,deportes,0
copitos,2022-09-01,paginadoce,rosario12,0
discurso-de-odio,2022-09-01,paginadoce,rosario12,0
copitos,2022-09-01,eldestape,politica,0
discurso-de-odio,2022-09-01,eldestape,politica,2
copitos,2022-09-01,eldestape,sociedad,0
discurso-de-odio,2022-09-01,eldestape,sociedad,0
copitos,2022-09-01,eldestape,economia,0
discurso-de-odio,2022-09-01,eldestape,economia,0
copitos,2022-09-01,eldestape,deportes,0
discurso-de-odio,2022-09-01,eldestape,deportes,0
copitos,2022-09-01,infobae,opinion,0
discurso-de-odio,2022-09-01,infobae,opinion,0
copitos,2022-09-01,infobae,deportes,0
discurso-de-odio,2022-09-01,infobae,deportes,0
copitos,2022-09-01,infobae,internacional,0
discurso-de-odio,2022-09-01,infobae,internacional,1
copitos,2022-09-01,infobae,inhouse,0
discurso-de-odio,2022-09-01,infobae,inhouse,0
copitos,2022-09-01,ambito,economia,0
discurso-de-odio,2022-09-01,ambito,economia,0
copitos,2022-09-01,ambito,sociedad,0
discurso-de-odio,2022-09-01,ambito,sociedad,0
copitos,2022-09-01,ambito,internacional,0
discurso-de-odio,2022-09-01,ambito,internacional,0
copitos,2022-09-01,ambito,deportes,0
discurso-de-odio,2022-09-01,ambito,deportes,0
copitos,2022-09-01,ambito,espectaculos,0
discurso-de-odio,2022-09-01,ambito,espectaculos,0
copitos,2022-09-01,ambito,finanzas,0
discurso-de-odio,2022-09-01,ambito,finanzas,0
copitos,2022-09-01,ambito,nacional,0
discurso-de-odio,2022-09-01,ambito,nacional,0
copitos,2022-09-01,todonoticias,economia,0
discurso-de-odio,2022-09-01,todonoticias,economia,0
copitos,2022-09-01,paginadoce,espectaculos,0
discurso-de-odio,2022-09-01,paginadoce,espectaculos,0
copitos,2022-09-01,paginadoce,universidad,0
discurso-de-odio,2022-09-01,paginadoce,universidad,0
copitos,2022-09-01,paginadoce,psicologia,0
discurso-de-odio,2022-09-01,paginadoce,psicologia,0
copitos,2022-09-01,paginadoce,politica,0
discurso-de-odio,2022-09-01,paginadoce,politica,0
copitos,2022-09-01,infobae,politica,0
discurso-de-odio,2022-09-01,infobae,politica,1
copitos,2022-09-01,infobae,cultura,0
discurso-de-odio,2022-09-01,infobae,cultura,0
copitos,2022-09-01,ambito,politica,0
discurso-de-odio,2022-09-01,ambito,politica,0
copitos,2022-09-01,todonoticias,espectaculos,0
discurso-de-odio,2022-09-01,todonoticias,espectaculos,0
copitos,2022-09-01,infobae,espectaculos,0
discurso-de-odio,2022-09-01,infobae,espectaculos,0
copitos,2022-09-01,infobae,sociedad,0
discurso-de-odio,2022-09-01,infobae,sociedad,0
copitos,2022-09-01,paginadoce,economia,0
discurso-de-odio,2022-09-01,paginadoce,economia,0
copitos,2022-09-01,clarin,deportes,0
discurso-de-odio,2022-09-01,clarin,deportes,0
copitos,2022-09-01,infobae,salud,0
discurso-de-odio,2022-09-01,infobae,salud,0
copitos,2022-09-01,infobae,economia,0
discurso-de-odio,2022-09-01,infobae,economia,0
copitos,2022-09-01,perfil,opinion,0
discurso-de-odio,2022-09-01,perfil,opinion,0
copitos,2022-09-01,paginadoce,sociedad,0
discurso-de-odio,2022-09-01,paginadoce,sociedad,0
copitos,2022-09-01,clarin,politica,0
discurso-de-odio,2022-09-01,clarin,politica,0
copitos,2022-09-01,infobae,tendencias,0
discurso-de-odio,2022-09-01,infobae,tendencias,0
copitos,2022-09-01,perfil,policiales,0
discurso-de-odio,2022-09-01,perfil,policiales,0
copitos,2022-09-01,clarin,sociedad,0
discurso-de-odio,2022-09-01,clarin,sociedad,0
copitos,2022-09-01,todonoticias,sociedad,0
discurso-de-odio,2022-09-01,todonoticias,sociedad,0
copitos,2022-09-01,todonoticias,politica,0
discurso-de-odio,2022-09-01,todonoticias,politica,0
copitos,2022-09-01,clarin,internacional,0
